",""x""",Species_Name,Family,Subfamily,Tribe,Genus,Species,Antennae,Antennomere_I,Antennomere_II,Antennomere_III,Sum
"33,""Hyalymenus_longispinus_CMF_0339""",Hyalymenus_longispinus,Alydidae,Alydinae,,Hyalymenus,longispinus,1,1,1,1,3
"37,""Anoplocerus_luteus_CMF_0989""",Anoplocerus_luteus,Coreidae,Pseudophloeinae,Pseudophloeini,Anoplocerus,luteus,1,1,1,1,3
"38,""Arenocoris_waltlii_CMF_0911""",Arenocoris_waltlii,Coreidae,Pseudophloeinae,Pseudophloeini,Arenocoris,waltlii,1,1,1,1,3
"39,""Bathysolen_nubilus_CMF_0602""",Bathysolen_nubilus,Coreidae,Pseudophloeinae,Pseudophloeini,Bathysolen,nubilus,1,1,1,1,3
"41,""Coriomeris_denticulatus_CMF_0979""",Coriomeris_denticulatus,Coreidae,Pseudophloeinae,Pseudophloeini,Coriomeris,denticulatus,1,1,1,1,3
"43,""Strobilotoma_typhaecornis_CMF_0923""",Strobilotoma_typhaecornis,Coreidae,Pseudophloeinae,Pseudophloeini,Strobilotoma,typhaecornis,1,1,1,1,3
"44,""Ceraleptus_gracilicornis_CMF_0988""",Ceraleptus_gracilicornis,Coreidae,Pseudophloeinae,Pseudophloeini,Ceraleptus,gracilicornis,1,1,1,1,3
"45,""Nemocoris_falleni_CMF_0994""",Nemocoris_falleni,Coreidae,Pseudophloeinae,Pseudophloeini,Nemocoris,falleni,1,1,1,1,3
"47,""Hoplolomia_scabricula_CMF_0857""",Hoplolomia_scabricula,Coreidae,Pseudophloeinae,Pseudophloeini,Hoplolomia,scabricula,1,1,1,1,3
"48,""Pseudomyla_cornuta_CMF_01122""",Pseudomyla_cornuta,Coreidae,Pseudophloeinae,Pseudophloeini,Pseudomyla,cornuta,1,1,1,1,3
"49,""Psilolomia_brunneofusca_CMF_0803""",Psilolomia_brunneofusca,Coreidae,Pseudophloeinae,Pseudophloeini,Psilolomia,brunneofusca,1,1,1,1,3
"52,""Mevanidea_spiniceps_CMF_0950_0953""",Mevanidea_spiniceps,Coreidae,Pseudophloeinae,Pseudophloeini,Mevanidea,spiniceps,1,1,1,1,3
"53,""Paramyla_suspecta_CMF_0807""",Paramyla_suspecta,Coreidae,Pseudophloeinae,Pseudophloeini,Paramyla,suspecta,1,1,1,1,3
"54,""Myla_sp_CMF_0091""",Myla_sp.,Coreidae,Pseudophloeinae,Pseudophloeini,Myla,sp.,1,1,1,1,3
"55,""Vilga_dallasi_CMF_1047""",Vilga_dallasi,Coreidae,Pseudophloeinae,Pseudophloeini,Vilga,dallasi,1,1,1,1,3
"62,""Clavigralla_sp_CMF_0335""",Clavigralla_sp.,Coreidae,Pseudophloeinae,Clavigrallini,Clavigralla,sp.,1,1,1,1,3
"63,""Clavigralloides_acantharis_CMF_0797""",Clavigralloides_acantharis,Coreidae,Pseudophloeinae,Clavigrallini,Clavigralloides,acantharis,1,1,1,1,3
"65,""Gralliclava_sp_CMF_0745""",Gralliclava_sp.,Coreidae,Pseudophloeinae,Clavigrallini,Gralliclava,sp.,1,1,1,1,3
"66,""Leptocorisa_acuta_CMF_0645""",Leptocorisa_acuta,Alydidae,Micrelytrinae,Leptocorisini,Leptocorisa,acuta,1,1,1,1,3
"71,""Stenocoris_tipuloides_CMF_0174""",Stenocoris_tipuloides,Alydidae,Micrelytrinae,Leptocorisini,Stenocoris,tipuloides,1,1,1,1,3
"72,""Mutusca_brevicornis_CMF_0417""",Mutusca_brevicornis,Alydidae,Micrelytrinae,Leptocorisini,Mutusca,brevicornis,1,1,1,1,3
"73,""Micrelytrinae_sp_CMF_0161_STANDARD""",Darmistus_sp.,Alydidae,Micrelytrinae,Micrelytrini,Darmistus,sp.,1,1,1,1,3
"74,""Hydara_tenuicornis_CMF_0040""",Hydara_tenuicornis,Coreidae,Hydarinae,,Hydara,tenuicornis,1,1,1,1,3
"75,""Hydarella_chiangdaoensis_CMF_1129""",Hydarella_chiangdaoensis,Coreidae,Hydarinae,,Hydarella,chiangdaoensis,1,1,1,1,3
"76,""Hydaropsis_longirostris_CMF_0817""",Hydaropsis_longirostris,Coreidae,Hydarinae,,Hydaropsis,longirostris,1,1,1,1,3
"77,""Madura_fuscoclavata_CMF_1078""",Madura_fuscoclavata,Coreidae,Hydarinae,,Madura,fuscoclavata,1,1,1,1,3
"78,""Maduranoides_chemsaki_CMF_1017""",Maduranoides_chemsaki,Coreidae,Hydarinae,,Maduranoides,chemsaki,1,1,1,1,3
"79,""Halyomorpha_halys_halhal1""",Halyomorpha_halys,Pentatomidae,Pentatominae,Cappaeini,Halyomorpha,halys,1,1,1,1,3
"80,""Dysdercus_suturellus_CMF_0305""",Dysdercus_suturellus,Pyrrhocoridae,,,Dysdercus,suturellus,1,1,1,1,3
"82,""Largus_sp_CMF_0230""",Largus_sp.,Largidae,Larginae,Largini,Largus,sp.,1,1,1,1,3
"83,""Oncopeltus_fasciatus_oncfas1""",Oncopeltus_fasciatus,Lygaeidae,Lygaeinae,Lygaeini,Oncopeltus,fasciatus,1,1,1,1,3
"84,""nr_Oedancala_sp_U23""",Oedancala_sp.,Pachygronthidae,Pachygronthinae,Pachygronthini,Oedancala,sp.,1,1,1,1,3
"85,""Harmostes_serratus_CMF_0401""",Harmostes_serratus,Rhopalidae,Rhopalinae,Harmostini,Harmostes,serratus,1,1,1,1,3
"86,""Jadera_haematoloma_CMF_0281""",Jadera_haematoloma,Rhopalidae,Serinethinae,,Jadera,haematoloma,1,1,1,1,3
"87,""Grammopoecilus_angustatus_CMF_0839""",Grammopoecilus_angustatus,Coreidae,Coreinae,Nematopodini,Grammopoecilus,angustatus,1,1,1,1,3
"88,""Nematopus_lepidus_CMF_0071""",Nematopus_lepidus,Coreidae,Coreinae,Nematopodini,Nematopus,lepidus,1,1,1,1,3
"89,""Lycambes_sargi_CMF_0049""",Lycambes_sargi,Coreidae,Meropachyinae,Spathophorini,Lycambes,sargi,1,1,1,1,3
"90,""Mozena_lineolata_CMF_0026""",Mozena_lineolata (lunata),Coreidae,Coreinae,Nematopodini,Mozena,lineolata (lunata),1,1,1,1,3
"92,""Piezogaster_calcarator_CMF_0877""",Piezogaster_calcarator,Coreidae,Coreinae,Nematopodini,Piezogaster,calcarator,1,1,1,1,3
"93,""Ouranion_serrulatus_CMF_0337""",Ouranion_serrulatus,Coreidae,Coreinae,Nematopodini,Ouranion,serrulatus,1,1,1,1,3
"94,""Melucha_quadrivittis_CMF_0157""",Melucha_quadrivittis,Coreidae,Coreinae,Nematopodini,Melucha,quadrivittis,1,1,1,1,3
"95,""Thasus_neocalifornicus_CMF_0190""",Thasus_neocalifornicus,Coreidae,Coreinae,Nematopodini,Thasus,neocalifornicus,2,1,1,2,4
"98,""Agriopocoris_froggatti_CMF_1144""",Agriopocoris_froggatti,Coreidae,Coreinae,Agriopocorini,Agriopocoris,froggatti,1,1,1,1,3
"99,""Agriopocostella_regulosa_CMF_1154""",Agriopocostella_regulosa,Coreidae,Coreinae,Agriopocorini,Agriopocostella,regulosa,0,0,0,0,0
"100,""Tylocryptus_egenus_CMF_1142""",Tylocryptus_egenus,Coreidae,Coreinae,Agriopocorini,Tylocryptus,egenus,1,1,1,1,3
"101,""Hygia_sp_CMF_0809""",Hygia_sp.,Coreidae,Coreinae,Colpurini,Hygia,sp.,1,1,1,1,3
"102,""Typhlocolpura_chinai_CMF_0006""",Typhlocolpura_chinai,Coreidae,Coreinae,Colpurini,Typhlocolpura,chinai,1,1,1,1,3
"103,""Homalocolpura_parrilloi_CMF_0609""",Homalocolpura_parrilloi,Coreidae,Coreinae,Colpurini,Homalocolpura,parrilloi,0,0,0,0,0
"104,""Amorbus_alternatus_CMF_1086""",Amorbus_alternatus,Coreidae,Coreinae,Amorbini,Amorbus,alternatus,1,1,1,1,3
"105,""Mirabilamorbus_n_sp_CMF_1149""",Mirabilamorbus_sp.,Coreidae,Coreinae,Amorbini,Mirabilamorbus,sp.,1,1,1,1,3
"106,""Gelonus_tasmanicus_CMF_1152""",Gelonus_tasmanicus,Coreidae,Coreinae,Amorbini,Gelonus,tasmanicus,1,1,1,1,3
"108,""Anoplocnemis_phasiana_CMF_0761""",Anoplocnemis_phasiana,Coreidae,Coreinae,Mictini,Anoplocnemis,phasiana,1,1,1,1,3
"111,""Elasmopoda_sp_CMF_0333""",Elasmopoda_sp.,Coreidae,Coreinae,Mictini,Elasmopoda,sp.,1,1,1,1,3
"114,""Plectropoda_sp_CMF_0022""",Plectropoda_sp.,Coreidae,Coreinae,Mictini,Plectropoda,sp.,1,1,1,1,3
"115,""Mygdonia_tuberculosa_CMF_0053""",Mygdonia_tuberculosa,Coreidae,Coreinae,Mictini,Mygdonia,tuberculosa,1,1,1,1,3
"116,""Plectropodoides_dallastai_CMF_0854""",Plectropodoides_dallastai,Coreidae,Coreinae,Mictini,Plectropodoides,dallastai,0,0,0,0,0
"117,""Dianomictis_expansa_CMF_0684""",Dianomictis_expansa,Coreidae,Coreinae,Mictini,Dianomictis,expansa,1,1,1,1,3
"118,""Molipteryx_lunata_CMF_0818""",Molipteryx_lunata,Coreidae,Coreinae,Mictini,Molipteryx,lunata,1,1,1,1,3
"119,""Prionolomia_yunnanensis_CMF_0554""",Prionolomia_yunnanensis,Coreidae,Coreinae,Mictini,Prionolomia,yunnanensis,1,1,1,1,3
"120,""Mictis_longicornis_CMF_0184""",Mictis_longicornis,Coreidae,Coreinae,Mictini,Mictis,longicornis,1,1,1,1,3
"121,""Pternistria_bispina_CMF_0698""",Pternistria_bispina,Coreidae,Coreinae,Mictini,Pternistria,bispina,1,1,1,1,3
"124,""Cloresmus_sp_CMF_0743""",Cloresmus_sp.,Coreidae,Coreinae,Cloresmini,Cloresmus,sp.,1,1,1,1,3
"126,""Notobitus_sexguttatus_CMF_0747""",Notobitus_sexguttatus,Coreidae,Coreinae,Cloresmini,Notobitus,sexguttatus,1,1,1,1,3
"128,""Dalader_planiventris_CMF_0737""",Dalader_planiventris,Coreidae,Coreinae,Daladerini,Dalader,planiventris,2,1,1,2,4
"129,""Latimbus_concolor_CMF_0827""",Latimbus_concolor,Coreidae,Coreinae,Latimbini,Latimbus,concolor,1,1,1,1,3
"131,""Odontocurtus_consociatus_CMF_0694""",Odontocurtus_consociatus,Coreidae,Coreinae,Daladerini,Odontocurtus,consociatus,1,1,1,1,3
"132,""Odontorhopala_callosa_CMF_0697""",Odontorhopala_callosa,Coreidae,Coreinae,Daladerini,Odontorhopala,callosa,1,1,1,1,3
"133,""Cletoliturus_lituripennis_CMF_0709""",Cletoliturus_lituripennis,Coreidae,Coreinae,Gonocerini,Cletoliturus,lituripennis,1,1,1,1,3
"135,""Cletomorpha_nyasana_CMF_0748""",Cletomorpha_nyasana,Coreidae,Coreinae,Gonocerini,Cletomorpha,nyasana,1,1,1,1,3
"137,""Cletus_ochraceus_CMF_0152""",Cletus_ochraceus,Coreidae,Coreinae,Gonocerini,Cletus,ochraceus,1,1,1,1,3
"139,""Coreus_marginatus_CMF_0793""",Coreus_marginatus,Coreidae,Coreinae,Coreini,Coreus,marginatus,1,1,1,1,3
"140,""Pephricus_paradoxus_CMF_0730""",Pephricus_paradoxus,Coreidae,Coreinae,Phyllomorphini,Pephricus,paradoxus,1,1,1,1,3
"141,""Tongorma_latreillii_CMF_0735""",Tongorma_latreillii,Coreidae,Coreinae,Phyllomorphini,Tongorma,latreillii,1,1,1,1,3
"142,""Haidara_producta_CMF_0824""",Haidara_producta,Coreidae,Coreinae,Coreini,Haidara,producta,1,1,1,1,3
"143,""Prionotylus_brevicornis_CMF_0916""",Prionotylus_brevicornis,Coreidae,Coreinae,Prionotylini,Prionotylus,brevicornis,1,1,1,1,3
"144,""Fracastorius_cornutus_CMF_0531""",Fracastorius_cornutus,Coreidae,Coreinae,Homoeocerini,Fracastorius,cornutus,1,1,1,1,3
"145,""Homoeocerus_marginellus_CMF_0327""",Homoeocerus_marginellus,Coreidae,Coreinae,Homoeocerini,Homoeocerus,marginellus,1,1,1,1,3
"148,""Prismatocerus_auriculatus_CMF_0734""",Prismatocerus_auriculatus,Coreidae,Coreinae,Homoeocerini,Prismatocerus,auriculatus,2,1,1,2,4
"149,""Galaesus_hasticornis_CMF_0701""",Galaesus_hasticornis,Coreidae,Coreinae,Dasynini,Galaesus,hasticornis,2,1,1,2,4
"150,""Manocoreus_yunnanensis_CMF_1133""",Manocoreus_yunnanensis,Coreidae,Coreinae,Manocoreini,Manocoreus,yunnanensis,1,1,1,1,3
"151,""Althos_obscurator_CMF_0870""",Althos_obscurator,Coreidae,Coreinae,Hypselonotini,Althos,obscurator,1,1,1,1,3
"152,""Vazquezitocoris_repletus_CMF_0851""",Vazquezitocoris_repletus,Coreidae,Coreinae,Hypselonotini,Vazquezitocoris,repletus,1,1,1,1,3
"154,""Catorhintha_texana_CMF_0070""",Catorhintha_texana,Coreidae,Coreinae,Hypselonotini,Catorhintha,texana,1,1,1,1,3
"155,""Scolopocerus_secundarius_CMF_0808""",Scolopocerus_secundarius,Coreidae,Coreinae,Hypselonotini,Scolopocerus,secundarius,1,1,1,1,3
"156,""Villasitocoris_inconspicuus_CMF_0822""",Villasitocoris_inconspicuus,Coreidae,Coreinae,Hypselonotini,Villasitocoris,inconspicuus,1,1,1,1,3
"157,""Athaumastus_subterlineatus_CMF_0528""",Athaumastus_sp.,Coreidae,Coreinae,Acanthocerini,Athaumastus,sp.,1,1,1,1,3
"158,""Crinocerus_sanctus_CMF_0860""",Crinocerus_sanctus,Coreidae,Coreinae,Acanthocerini,Crinocerus,sanctus,1,1,1,1,3
"159,""Euthochtha_galeator_CMF_0162""",Euthochtha_galeator,Coreidae,Coreinae,Acanthocerini,Euthochtha,galeator,1,1,1,1,3
"160,""Acanthocerus_crucifer_CMF_0541""",Acanthocerus_cruciger,Coreidae,Coreinae,Acanthocerini,Acanthocerus,cruciger,1,1,1,1,3
"161,""Camptischium_clavipes_CMF_0548""",Camptischium_clavipes,Coreidae,Coreinae,Acanthocerini,Camptischium,clavipes,1,1,1,1,3
"162,""Zoreva_lacerna_CMF_0813""",Zoreva_lacerna,Coreidae,Coreinae,Acanthocerini,Zoreva,lacerna,1,1,1,1,3
"164,""Chariesterus_antennator_CMF_0103""",Chariesterus_antennator,Coreidae,Coreinae,Chariesterini,Chariesterus,antennator,2,1,1,2,4
"166,""Plapigus_abdominalis_CMF_0002""",Plapigus_abdominalis,Coreidae,Coreinae,Chariesterini,Plapigus,abdominalis,2,1,1,2,4
"168,""Hypselonotus_fulvus_CMF_0145""",Hypselonotus_fulvus,Coreidae,Coreinae,Hypselonotini,Hypselonotus,fulvus,1,1,1,1,3
"170,""Hypselonotus_punctiventris_CMF_0784""",Hypselonotus_punctiventris,Coreidae,Coreinae,Hypselonotini,Hypselonotus,punctiventris,1,1,1,1,3
"171,""Merocoris_curtatus_CMF_0821""",Merocoris_curtatus,Coreidae,Meropachyinae,Merocorini,Merocoris,curtatus,1,1,1,1,3
"172,""Merocoris_typhaeus_CMF_0523""",Merocoris_typhaeus,Coreidae,Meropachyinae,Merocorini,Merocoris,typhaeus,1,1,1,1,3
"174,""Cebrenis_danieli_CMF_0158""",Cebrenis_danieli,Coreidae,Coreinae,Hypselonotini,Cebrenis,danieli,1,1,1,1,3
"175,""Zicca_commaculata_CMF_0055""",Zicca_commaculata,Coreidae,Coreinae,Hypselonotini,Zicca,commaculata,1,1,1,1,3
"186,""Leptoglossus_gonagra_FL_CMF_0669""",Leptoglossus_gonagra,Coreidae,Coreinae,Anisoscelini,Leptoglossus,gonagra,1,1,1,1,3
"187,""Phthiacnemia_picta_CMF_0350""",Phthiacnemia_picta,Coreidae,Coreinae,Anisoscelini,Phthiacnemia,picta,1,1,1,1,3
"189,""Narnia_snowi_CMF_0208""",Narnia_snowi,Coreidae,Coreinae,Anisoscelini,Narnia,snowi,1,1,1,1,3
"191,""Leptoscelis_tricolor_CMF_0079""",Leptoscelis_tricolor,Coreidae,Coreinae,Anisoscelini,Leptoscelis,tricolor,1,1,1,1,3
"194,""Paryphes_pulchellus_CMF_0858""",Paryphes_pulchellus,Coreidae,Coreinae,Hypselonotini,Paryphes,pulchellus,1,1,1,1,3
"196,""Anasa_varicornis_CMF_0005""",Anasa_varicornis,Coreidae,Coreinae,Hypselonotini,Anasa,varicornis,1,1,1,1,3
"197,""Anasa_scorbutica_CMF_0169""",Anasa_scorbutica,Coreidae,Coreinae,Hypselonotini,Anasa,scorbutica,1,1,1,1,3
"198,""Anisoscelis_alipes_CMF_0018""",Anisoscelis_alipes,Coreidae,Coreinae,Anisoscelini,Anisoscelis,alipes,1,1,1,1,3
"199,""Anisoscelis_gradadius_CMF_0137""",Anisoscelis_gradadius,Coreidae,Coreinae,Anisoscelini,Anisoscelis,gradadius,1,1,1,1,3
"200,""Chondrocera_laticornis_CMF_0662""",Chondrocera_laticornis,Coreidae,Coreinae,Anisoscelini,Chondrocera,laticornis,2,1,2,2,5
"202,""Holhymenia_tibialis_CMF_0801""",Holhymenia_tibialis,Coreidae,Coreinae,Anisoscelini,Holhymenia,tibialis,2,1,2,2,5
"203,""Chelinidea_tabulata_CMF_0233""",Chelinidea_tabulata,Coreidae,Coreinae,Chelinideini,Chelinidea,tabulata,2,2,2,2,6
"204,""Chelinidea_vittiger_CMF_0220""",Chelinidea_vittiger,Coreidae,Coreinae,Chelinideini,Chelinidea,vittiger,2,2,2,2,6
"205,""Plaxiscelis_limbata_CMF_0072""",Plaxiscelis_limbata,Coreidae,Coreinae,Placoscelini,Plaxiscelis,limbata,1,1,1,1,3
"206,""Stenoeurilla_aenescens_CMF_0083""",Stenoeurilla_aenescens,Coreidae,Coreinae,Placoscelini,Stenoeurilla,aenescens,1,1,1,1,3
"208,""Laminiceps_vergarae_CMF_0800""",Laminiceps_vergarae,Coreidae,Coreinae,Acanthocephalini,Laminiceps,vergarae,1,1,1,1,3
"209,""Petalops_distinctus_CMF_0810""",Petalops_distinctus,Coreidae,Coreinae,Acanthocephalini,Petalops,distinctus,1,1,1,1,3
"210,""Stenometapodus_ambiguus_CMF_0845""",Stenometapodus_ambiguus,Coreidae,Coreinae,Acanthocephalini,Stenometapodus,ambiguus,1,1,1,1,3
"212,""Zygometapodus_castaneus_CMF_0798""",Zygometapodus_castaneus,Coreidae,Coreinae,Acanthocephalini,Zygometapodus,castaneus,1,1,1,1,3
